state_code,state_name,sch_num,sch_name,cust_code,cust_name,cust_town,status,type,category,accd_year,lga
011,ENUGU,0110646,"CLARET COMPREHENSIVE ACADEMY, AMURRI, ENUGU",11005,"P.P.S.M.B ZONAL OFFICE, AGBANI",AGBANI,,,,,
011,ENUGU,0110647,"BETHSAIDA COLLEGE, NEW G.R.A, TRANS-EKULU, ENUGU",11026,"GIRLS SECONDARY SCHOOL, TRANS EKULU",TRANS-EKULU,,,,,
011,ENUGU,0110648,"BISHOP MICHAEL ENEJA COMPREHENSIVE SECONDARY SCHOOL, NDIAGU AKPUGO",11005,"P.P.S.M.B ZONAL OFFICE, AGBANI",AGBANI,,,,,
011,ENUGU,0110649,"MAYDAY INTERNATIONAL SCHOOL, TRANS-EKULU, ENUGU",11026,"GIRLS SECONDARY SCHOOL, TRANS EKULU",TRANS-EKULU,,,,,
011,ENUGU,0110650,"GRACE FOUNDATION COLLEGE, TOPLAND, ENUGU",11022,"GIRL'S GRAMMAR SCHOOL, AWKUNANA",AWKUNANAW,,,,,
011,ENUGU,0110651,"DREW-PHILIPS TECH. MAGNET ACADEMY, G.R.A., ENUGU",11001,"POST-PRIMARY SCHOOL MGT. BOARD, ZONAL OFFICE ENUGU",ENUGU,,,,,
011,ENUGU,0110652,"ROYAL ORCHARD COLLEGE, GOLF ESTATE, G.R.A., ENUGU",11001,"POST-PRIMARY SCHOOL MGT. BOARD, ZONAL OFFICE ENUGU",ENUGU,,,,,
011,ENUGU,0110653,"CHRISMIL INTERNATIONAL HIGH SCHOOL, UGBENE I, ABAKPA-NIKE",11021,"ENUGU EAST DEV. CENTRE, ABAKPA NIKE",ABAKPA NIKE,,,,,
011,ENUGU,0110654,"SPECIAL EDUCATION CENTER SECONDARY SCHOOL (INCLUSIVE),  OJI RIVER",11010,"ST PAUL'S COLLEGE, OJI RIVER",OJI RIVER,,,,,
011,ENUGU,0110655,"ST. PETER SECONDARY SCHOOL, AMAEZIKE, ABOR",11009,"CHRIST THE KING PARISH, NGWO UNO",NGWO UNO,,,,,
