state_code,state_name,sch_num,sch_name,cust_code,cust_name,cust_town,status,type,category,accd_year,lga
003,Akwa Ibom,0034287,"GREATER GRACE SECONDARY SCHOOL, ITU",03001,"NECO STATE OFFICE, UYO",UYO,,,,,
003,Akwa Ibom,0034364,"SAINT ANNIE CHRISTIAN COLLEGE, OBIO NDOT",03006,"SUB-TREASURY, ABAK",ABAK,,,,,
003,Akwa Ibom,0034366,"HOPELAND PRIME SCHOOLS, UYO",03009,"METHODIST CHURCH, BIG IFA, ATAI",ATAI,,,,,
003,Akwa Ibom,0034453,"AWIN INTERNATIONAL SCHOOLS, UKPAP EKPAN ITAK, IKONO",03012,"AKS COUNCIL FOR ARTS & CULTURE, ABAK ROAD, UYO","ABAK ROAD, UYO",,,,,
003,Akwa Ibom,0034456,"ESSENCE SCHOOLS, NUNG-UYO",03012,"AKS COUNCIL FOR ARTS & CULTURE, ABAK ROAD, UYO","ABAK ROAD, UYO",,,,,
003,Akwa Ibom,0034106,"BAYAM INTERNATIONAL SECONDARY SCHOOL, UYO",03015,"ZONAL EDUCATION OFFICE, MBABA AFIA STREET",UYO,,,,,
003,Akwa Ibom,0034721,"BRIGHT HOPE CHRISTIAN ACADEMY, IKOT NTUK, ORUK ANAM",03010,"SUB-TREASURY, IKOT IBRITAM, ORUK ANAM",ORUK ANAM,,,,,
003,Akwa Ibom,0034723,"AUNTY BASSEY SECONDARY SCHOOL, MBIAOBONG ETOI UYO",03009,"METHODIST CHURCH, BIG IFA, ATAI",ATAI,,,,,
003,Akwa Ibom,0034724,"EXTRA GRACE COLLEGE, MBIAOBONG IKOT ESSIEN UYO",03009,"METHODIST CHURCH, BIG IFA, ATAI",ATAI,,,,,
003,Akwa Ibom,0034726,"THOMAN INTERNATIONAL SCHOOLS, IKOT IKPE, OKON EKET",03003,"ZONAL EDUCATION OFFICE - LIVERPOOL ROAD, EKET",EKET,,,,,
003,Akwa Ibom,0034728,"FORESIGHT INTERNATIONAL ACADEMY, IKOT AKPAN ABIA, IKOT- EKPENE",03002,"SUB-TREASURY, IKOT-EKPENE",IKOT-EKPENE,,,,,
003,Akwa Ibom,0034977,"WISDOM COMPREHENSIVE SECONDARY SCHOOL, UYO",03001,"NECO STATE OFFICE, UYO",UYO,,,,,
003,Akwa Ibom,0035304,"EMMANUEL NEW LIFE INTERNATIONAL COLLEGE, ABIAKPO IKOT ESSIEN, IKOT EKPENE",03002,"SUB-TREASURY, IKOT-EKPENE",IKOT-EKPENE,,,,,
003,Akwa Ibom,0035843,"HARRY HAIGH SCHOOLS, EKET",03003,"ZONAL EDUCATION OFFICE - LIVERPOOL ROAD, EKET",EKET,,,,,
003,Akwa Ibom,0035845,"GREYSONS FOUNDATION ACADEMY,  IKOT MBONDE, ITU",03001,"NECO STATE OFFICE, UYO",UYO,,,,,
003,Akwa Ibom,0036230,"BEST LIFE NOBLE HIGH SCHOOL, ORON",03005,"SUB -TREASURY, ORON",ORON,,,,,
003,Akwa Ibom,0036231,"COMMUNITY SECONDARY SCHOOL, MBIABONG EDEM EDIK, IBIONO IBOM",03012,"AKS COUNCIL FOR ARTS & CULTURE, ABAK ROAD, UYO","ABAK ROAD, UYO",,,,,
003,Akwa Ibom,0036236,"NEST B ACADEMY, IKOT OKU IKONO,UYO",03012,"AKS COUNCIL FOR ARTS & CULTURE, ABAK ROAD, UYO","ABAK ROAD, UYO",,,,,
003,Akwa Ibom,0036419,"THE GREAT SHEPHERD HIGH SCHOOL, ABIAKPO IKOT ABASI INYANG, OBOT AKARA",03007,"SUB-TREASURY, OBOT-AKARA",OBOT AKARA,,,,,
018,Kogi,0182554,UBE/JSS TAKETE-IDE,,,,,,,,
